date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:17	126377/126377	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-1eda9%22	https://0codezone.github.io/Magnitude/index.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/index.html	(from )
21:08:18	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22672c11f8-239b%22	https://0codezone.github.io/robots.txt		(from )
21:08:18	22590/22590	---M-Z	200	added ('OK')	text/css	etag:W/%2265d0a005-583e%22	https://0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/8wlj9ga4/brfio.css	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/8wlj9ga4/brfio.css	(from https://0codezone.github.io/Magnitude/index.html)
21:08:19	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://0codezone.github.io/Magnitude/fonts.googleapis.com/css?family=Source+Sans+Pro%3A200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C600%2C600italic%2C700%2C700italic%2C900%2C900italic%7CMontserrat%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&subset=latin%2Cgreek%2Ccyrillic-ext%2Clatin-ext%2Ccyrillic%2Cvietnamese%2Cgreek-ext&ver=5.8.1	D:/CollablineSolutions/0codezone.github.io/Magnitude/fonts.googleapis.com/css18fe	(from https://0codezone.github.io/Magnitude/index.html)
21:08:19	503116/503116	---M-Z	200	added ('OK')	text/css	etag:W/%2265d0a005-7ad4c%22	https://0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/eu625954/brfio.css	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/eu625954/brfio.css	(from https://0codezone.github.io/Magnitude/index.html)
21:08:20	219851/219851	---M-Z	200	added ('OK')	text/css	etag:W/%2265d0a005-35acb%22	https://0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/kngyqf53/brfct.css	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/kngyqf53/brfct.css	(from https://0codezone.github.io/Magnitude/index.html)
21:08:20	642594/642594	---M-Z	200	added ('OK')	text/css	etag:W/%2265d0a005-9ce22%22	https://0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/er2xct37/8hf2c.css	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/er2xct37/8hf2c.css	(from https://0codezone.github.io/Magnitude/index.html)
21:08:20	2286/2286	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265d0a005-8ee%22	https://0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/ldwpmxzd/brfio.js	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/ldwpmxzd/brfio.js	(from https://0codezone.github.io/Magnitude/index.html)
21:08:20	100935/100935	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265d0a005-18a47%22	https://0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/8z26ruh8/brfio.js	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/8z26ruh8/brfio.js	(from https://0codezone.github.io/Magnitude/index.html)
21:08:21	272817/272817	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265d0a005-429b1%22	https://0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/k9roapvd/brfio.js	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/k9roapvd/brfio.js	(from https://0codezone.github.io/Magnitude/index.html)
21:08:21	968/968	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265d0a005-3c8%22	https://0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/d3nz2dl9/brfio.js	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/d3nz2dl9/brfio.js	(from https://0codezone.github.io/Magnitude/index.html)
21:08:21	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://0codezone.github.io/Magnitude/wp-includes/wlwmanifest.xml	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-includes/wlwmanifest.xml	(from https://0codezone.github.io/Magnitude/index.html)
21:08:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2014%20Nov%202024%2015:38:23%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/CollablineSolutions/www.googletagmanager.com/gtm.b5445.delayed	(from https://0codezone.github.io/Magnitude/index.html)
21:08:22	15406/15406	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2265d0a005-3c2e%22	https://0codezone.github.io/Magnitude/favicon_io/favicon.ico	D:/CollablineSolutions/0codezone.github.io/Magnitude/favicon_io/favicon.ico	(from https://0codezone.github.io/Magnitude/index.html)
21:08:22	9048/9048	---M--	200	added ('OK')	image/png	etag:%2265d0a005-2358%22	https://0codezone.github.io/Magnitude/favicon_io/apple-touch-icon.png	D:/CollablineSolutions/0codezone.github.io/Magnitude/favicon_io/apple-touch-icon.png	(from https://0codezone.github.io/Magnitude/index.html)
21:08:23	1301/1301	---M--	200	added ('OK')	image/png	etag:%2265d0a005-515%22	https://0codezone.github.io/Magnitude/favicon_io/favicon-32x32.png	D:/CollablineSolutions/0codezone.github.io/Magnitude/favicon_io/favicon-32x32.png	(from https://0codezone.github.io/Magnitude/index.html)
21:08:23	571/571	---M--	200	added ('OK')	image/png	etag:%2265d0a005-23b%22	https://0codezone.github.io/Magnitude/favicon_io/favicon-16x16.png	D:/CollablineSolutions/0codezone.github.io/Magnitude/favicon_io/favicon-16x16.png	(from https://0codezone.github.io/Magnitude/index.html)
21:08:23	263/263	---M-Z	200	added ('OK')	application/manifest+json	etag:W/%2265d0a005-107%22	https://0codezone.github.io/Magnitude/favicon_io/site.webmanifest	D:/CollablineSolutions/0codezone.github.io/Magnitude/favicon_io/site.webmanifest	(from https://0codezone.github.io/Magnitude/index.html)
21:08:23	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://0codezone.github.io/Magnitude/wp-content/uploads/2020/07/background.jpg?id=6246	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/uploads/2020/07/background9665.jpg	(from https://0codezone.github.io/Magnitude/index.html)
21:08:24	125038/125038	---M--	200	added ('OK')	image/jpeg	etag:%2265d0a005-1e86e%22	https://0codezone.github.io/Magnitude/wp-content/uploads/2020/09/Banner-1200-800.jpg?id=6498	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/uploads/2020/09/Banner-1200-80023f0.jpg	(from https://0codezone.github.io/Magnitude/index.html)
21:08:24	56830/56830	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-ddfe%22	https://0codezone.github.io/Magnitude/contact.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/contact.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:24	30653/30653	---M--	200	added ('OK')	image/png	etag:%2265d0a005-77bd%22	https://0codezone.github.io/Magnitude/wp-content/uploads/thegem-logos/lg2.png	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/uploads/thegem-logos/lg2.png	(from https://0codezone.github.io/Magnitude/index.html)
21:08:25	65239/65239	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-fed7%22	https://0codezone.github.io/Magnitude/aboutus.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/aboutus.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:25	92886/92886	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-16ad6%22	https://0codezone.github.io/Magnitude/faq.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/faq.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:26	97413/97413	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-17c85%22	https://0codezone.github.io/Magnitude/healthcare-email-list.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/healthcare-email-list.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:27	83450/83450	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-145fa%22	https://0codezone.github.io/Magnitude/professionals-email-list.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/professionals-email-list.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:27	81530/81530	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-13e7a%22	https://0codezone.github.io/Magnitude/technology-users-email-list.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/technology-users-email-list.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:28	90631/90631	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-16207%22	https://0codezone.github.io/Magnitude/industry-email-list.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/industry-email-list.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:29	86694/86694	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-152a6%22	https://0codezone.github.io/Magnitude/international-email-list.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/international-email-list.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:29	88356/88356	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-15924%22	https://0codezone.github.io/Magnitude/b2b-email-list.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/b2b-email-list.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:30	102505/102505	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-19069%22	https://0codezone.github.io/Magnitude/data-appending-services.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/data-appending-services.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:31	97575/97575	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-17d27%22	https://0codezone.github.io/Magnitude/email-appending-services.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/email-appending-services.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:31	85330/85330	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-14d52%22	https://0codezone.github.io/Magnitude/data-cleansing-services.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/data-cleansing-services.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:31	73598/73598	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-11f7e%22	https://0codezone.github.io/Magnitude/data-licensing-services.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/data-licensing-services.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:32	94125/94125	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-16fad%22	https://0codezone.github.io/Magnitude/phone-appending-services.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/phone-appending-services.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:32	68/68	---M--	200	added ('OK')	image/png	etag:%2265d0a005-44%22	https://0codezone.github.io/Magnitude/wp-content/plugins/revslider/public/assets/assets/dummy.png	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/plugins/revslider/public/assets/assets/dummy.png	(from https://0codezone.github.io/Magnitude/index.html)
21:08:33	16638/16638	---M--	200	added ('OK')	image/jpeg	etag:%2265d0a005-40fe%22	https://0codezone.github.io/Magnitude/wp-content/uploads/2020/07/service-4.jpg	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/uploads/2020/07/service-4.jpg	(from https://0codezone.github.io/Magnitude/index.html)
21:08:33	78834/78834	---M--	200	added ('OK')	image/jpeg	etag:%2265d0a005-133f2%22	https://0codezone.github.io/Magnitude/wp-content/uploads/2020/05/entrepreneur-1340649_640.jpg	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/uploads/2020/05/entrepreneur-1340649_640.jpg	(from https://0codezone.github.io/Magnitude/index.html)
21:08:33	19264/19264	---M--	200	added ('OK')	image/jpeg	etag:%2265d0a005-4b40%22	https://0codezone.github.io/Magnitude/wp-content/uploads/2020/09/service-6.jpg	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/uploads/2020/09/service-6.jpg	(from https://0codezone.github.io/Magnitude/index.html)
21:08:34	23132/23132	---M--	200	added ('OK')	image/jpeg	etag:%2265d0a005-5a5c%22	https://0codezone.github.io/Magnitude/wp-content/uploads/2020/07/service-3.jpg	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/uploads/2020/07/service-3.jpg	(from https://0codezone.github.io/Magnitude/index.html)
21:08:34	84169/84169	---M--	200	added ('OK')	image/jpeg	etag:%2265d0a005-148c9%22	https://0codezone.github.io/Magnitude/wp-content/images/why.jpeg	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/images/why.jpg	(from https://0codezone.github.io/Magnitude/index.html)
21:08:35	60809/60809	---M-Z	200	added ('OK')	text/html	etag:W/%2265d0a005-ed89%22	https://0codezone.github.io/Magnitude/privacy-policy.html	D:/CollablineSolutions/0codezone.github.io/Magnitude/privacy-policy.html	(from https://0codezone.github.io/Magnitude/index.html)
21:08:35	554547/554547	---M--	200	added ('OK')	image/png	etag:%2265d0a005-87633%22	https://0codezone.github.io/Magnitude/wp-content/images/market.png	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/images/market.png	(from https://0codezone.github.io/Magnitude/index.html)
21:08:35	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://0codezone.github.io/Magnitude/fonts.googleapis.com/css?family=Roboto:500%2C700%2C400	D:/CollablineSolutions/0codezone.github.io/Magnitude/fonts.googleapis.com/css.2a617a.delayed	(from https://0codezone.github.io/Magnitude/index.html)
21:08:36	185111/185111	---M-Z	200	added ('OK')	text/css	etag:W/%2265d0a005-2d317%22	https://0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/9km4zi9a/brfcq.css	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/9km4zi9a/brfcq.css	(from https://0codezone.github.io/Magnitude/index.html)
21:08:36	9855/9855	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265d0a005-267f%22	https://0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/fp5idmpw/brfio.js	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/fp5idmpw/brfio.js	(from https://0codezone.github.io/Magnitude/index.html)
21:08:39	164632/164632	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265d0a005-28318%22	https://0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/knvsec62/brfio.js	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/knvsec62/brfio.js	(from https://0codezone.github.io/Magnitude/index.html)
21:08:40	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2014%20Nov%202024%2015:38:40%20GMT	http://www.sln-solutions.com/wp-content/plugins/LayerSlider/assets/static/layerslider/img/icon-muted-white.png	D:/CollablineSolutions/www.sln-solutions.com/wp-content/plugins/LayerSlider/assets/static/layerslider/img/icon-muted-white.2f.delayed	(from https://0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/8wlj9ga4/brfio.css)
21:08:41	644399/644399	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265d0a005-9d52f%22	https://0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/32nzk4it/8hf2d.js	D:/CollablineSolutions/0codezone.github.io/Magnitude/wp-content/cache/wpfc-minified/32nzk4it/8hf2d.js	(from https://0codezone.github.io/Magnitude/index.html)
